_phrase_,type,grammar_symbol,value
"('Edela',)",tänav,TÄNAV,whatevs
"('Edu',)",tänav,TÄNAV,whatevs
"('Eerumaa',)",tänav,TÄNAV,whatevs
"('Eespere',)",tänav,TÄNAV,whatevs
"('Eevardi',)",tänav,TÄNAV,whatevs
"('Eha',)",tänav,TÄNAV,whatevs
"('Ehitaja',)",tänav,TÄNAV,whatevs
"('Ehitajate',)",tänav,TÄNAV,whatevs
"('Ehituse',)",tänav,TÄNAV,whatevs
"('Ehte',)",tänav,TÄNAV,whatevs
"('Eke',)",tänav,TÄNAV,whatevs
"('Elektri',)",tänav,TÄNAV,whatevs
"('Elektriku',)",tänav,TÄNAV,whatevs
"('Elektroni',)",tänav,TÄNAV,whatevs
"('Elevandi',)",tänav,TÄNAV,whatevs
"('?E.', 'Elleri')",tänav,TÄNAV,whatevs
"('Elleri',)",tänav,TÄNAV,whatevs
"('Elulõnga',)",tänav,TÄNAV,whatevs
"('Elva',)",tänav,TÄNAV,whatevs
"('Emajõe',)",tänav,TÄNAV,whatevs
"('Era',)",tänav,TÄNAV,whatevs
"('Ereda',)",tänav,TÄNAV,whatevs
"('Erika',)",tänav,TÄNAV,whatevs
"('Esku',)",tänav,TÄNAV,whatevs
"('Esperanto',)",tänav,TÄNAV,whatevs
"('Esplanaadi',)",tänav,TÄNAV,whatevs
"('Estakaadi',)",tänav,TÄNAV,whatevs
"('Eterniidi',)",tänav,TÄNAV,whatevs
"('Ettevõtluse',)",tänav,TÄNAV,whatevs
"('Eveli',)",tänav,TÄNAV,whatevs
"('Friedrich', 'Robert', 'Faehlmanni')",tänav,TÄNAV,whatevs
"('Faehlmanni',)",tänav,TÄNAV,whatevs
"('Filmi',)",tänav,TÄNAV,whatevs
"('Filosoofi',)",tänav,TÄNAV,whatevs
"('Forelli',)",tänav,TÄNAV,whatevs
"('Bengt', 'Gottfried', 'Forseliuse')",tänav,TÄNAV,whatevs
"('Forseliuse',)",tänav,TÄNAV,whatevs
"('Fortuuna',)",tänav,TÄNAV,whatevs
"('Fosforiidi',)",tänav,TÄNAV,whatevs
"('Gaasi',)",tänav,TÄNAV,whatevs
"('Juri', 'Gagarini')",tänav,TÄNAV,whatevs
"('Gagarini',)",tänav,TÄNAV,whatevs
"('Kosmonaut', 'Gagarini')",tänav,TÄNAV,whatevs
"('Garnisoni',)",tänav,TÄNAV,whatevs
"('Geoloogia',)",tänav,TÄNAV,whatevs
"('Geoloogide',)",tänav,TÄNAV,whatevs
"('Vassili', 'Gerassimovi')",tänav,TÄNAV,whatevs
"('Gerassimovi',)",tänav,TÄNAV,whatevs
"('Gildi',)",tänav,TÄNAV,whatevs
"('Nikolai', 'von', 'Glehni')",tänav,TÄNAV,whatevs
"('Glehni',)",tänav,TÄNAV,whatevs
"('Nikolai', 'Gogoli')",tänav,TÄNAV,whatevs
"('Gogoli',)",tänav,TÄNAV,whatevs
"('Gonsiori',)",tänav,TÄNAV,whatevs
"('?M.', 'Gorbatši')",tänav,TÄNAV,whatevs
"('Gorbatši',)",tänav,TÄNAV,whatevs
"('Maksim', 'Gorki')",tänav,TÄNAV,whatevs
"('Gorki',)",tänav,TÄNAV,whatevs
"('Igor', 'Grafovi')",tänav,TÄNAV,whatevs
"('Grafovi',)",tänav,TÄNAV,whatevs
"('Graniidi',)",tänav,TÄNAV,whatevs
"('Grigori',)",tänav,TÄNAV,whatevs
"('Gümnaasiumi',)",tänav,TÄNAV,whatevs
"('Haabersti',)",tänav,TÄNAV,whatevs
"('Haava',)",tänav,TÄNAV,whatevs
"('Anna', 'Haava')",tänav,TÄNAV,whatevs
"('Paul', 'Haavaoksa')",tänav,TÄNAV,whatevs
"('Haavaoksa',)",tänav,TÄNAV,whatevs
"('Haaviku',)",tänav,TÄNAV,whatevs
"('Hagudi',)",tänav,TÄNAV,whatevs
"('Adolf', 'Hahni')",tänav,TÄNAV,whatevs
"('Hahni',)",tänav,TÄNAV,whatevs
"('Haigla',)",tänav,TÄNAV,whatevs
"('Haigru',)",tänav,TÄNAV,whatevs
"('Haki',)",tänav,TÄNAV,whatevs
"('Haldja',)",tänav,TÄNAV,whatevs
"('Haljasmaa',)",tänav,TÄNAV,whatevs
"('Haljava',)",tänav,TÄNAV,whatevs
"('Halla',)",tänav,TÄNAV,whatevs
"('Hallikivi',)",tänav,TÄNAV,whatevs
"('Hallivanamehe',)",tänav,TÄNAV,whatevs
"('Halu',)",tänav,TÄNAV,whatevs
"('Hane',)",tänav,TÄNAV,whatevs
"('Hange',)",tänav,TÄNAV,whatevs
"('Hangu',)",tänav,TÄNAV,whatevs
"('Hannuse',)",tänav,TÄNAV,whatevs
"('Hanseni',)",tänav,TÄNAV,whatevs
"('Hansu',)",tänav,TÄNAV,whatevs
"('Hao',)",tänav,TÄNAV,whatevs
"('Haraka',)",tänav,TÄNAV,whatevs
"('Hargi',)",tänav,TÄNAV,whatevs
"('Hariduse',)",tänav,TÄNAV,whatevs
"('Harju',)",tänav,TÄNAV,whatevs
"('Harksaba',)",tänav,TÄNAV,whatevs
"('Harku',)",tänav,TÄNAV,whatevs
"('Haru',)",tänav,TÄNAV,whatevs
"('Haugi',)",tänav,TÄNAV,whatevs
"('Hauka',)",tänav,TÄNAV,whatevs
"('Havi',)",tänav,TÄNAV,whatevs
"('Hans', 'Heidemanni')",tänav,TÄNAV,whatevs
"('Heidemanni',)",tänav,TÄNAV,whatevs
"('Heina',)",tänav,TÄNAV,whatevs
"('Heinamaa',)",tänav,TÄNAV,whatevs
"('Heinavälja',)",tänav,TÄNAV,whatevs
"('Heki',)",tänav,TÄNAV,whatevs
"('Helbe',)",tänav,TÄNAV,whatevs
"('Hele',)",tänav,TÄNAV,whatevs
"('Helme',)",tänav,TÄNAV,whatevs
"('Helsingi',)",tänav,TÄNAV,whatevs
"('Henno',)",tänav,TÄNAV,whatevs
"('Herilase',)",tänav,TÄNAV,whatevs
"('Karl', 'August', 'Hermanni')",tänav,TÄNAV,whatevs
"('Hermanni',)",tänav,TÄNAV,whatevs
"('Herne',)",tänav,TÄNAV,whatevs
"('Hiidi',)",tänav,TÄNAV,whatevs
"('Hiidtamme',)",tänav,TÄNAV,whatevs
"('Hiie',)",tänav,TÄNAV,whatevs
"('Hiiepuu',)",tänav,TÄNAV,whatevs
"('Hiire',)",tänav,TÄNAV,whatevs
"('Hiiu',)",tänav,TÄNAV,whatevs
"('Hiiu-Maleva',)",tänav,TÄNAV,whatevs
"('Hiiu-Suurtüki',)",tänav,TÄNAV,whatevs
"('Hindreku',)",tänav,TÄNAV,whatevs
"('Hipodroomi',)",tänav,TÄNAV,whatevs
"('Hirve',)",tänav,TÄNAV,whatevs
"('Hirveaia',)",tänav,TÄNAV,whatevs
"('Hobujaama',)",tänav,TÄNAV,whatevs
"('Hobukopli',)",tänav,TÄNAV,whatevs
"('Hoburaua',)",tänav,TÄNAV,whatevs
"('Hobuse',)",tänav,TÄNAV,whatevs
"('Hobusepea',)",tänav,TÄNAV,whatevs
"('Hobuseraua',)",tänav,TÄNAV,whatevs
"('Hoiu',)",tänav,TÄNAV,whatevs
"('Holmi',)",tänav,TÄNAV,whatevs
"('Hommiku',)",tänav,TÄNAV,whatevs
"('Hoo',)",tänav,TÄNAV,whatevs
"('Hoovi',)",tänav,TÄNAV,whatevs
"('Hospidali',)",tänav,TÄNAV,whatevs
"('Humala',)",tänav,TÄNAV,whatevs
"('Hundi',)",tänav,TÄNAV,whatevs
"('Hundipea',)",tänav,TÄNAV,whatevs
"('Hundisoo',)",tänav,TÄNAV,whatevs
"('Huntaugu',)",tänav,TÄNAV,whatevs
"('Jakob', 'Hurda')",tänav,TÄNAV,whatevs
"('Hurda',)",tänav,TÄNAV,whatevs
"('Hurmi',)",tänav,TÄNAV,whatevs
"('Hõbe',)",tänav,TÄNAV,whatevs
"('Hõbeda',)",tänav,TÄNAV,whatevs
"('Hõbepaju',)",tänav,TÄNAV,whatevs
"('Hõberebase',)",tänav,TÄNAV,whatevs
"('Hõimu',)",tänav,TÄNAV,whatevs
"('Hälli',)",tänav,TÄNAV,whatevs
"('Hämariku',)",tänav,TÄNAV,whatevs
"('Härgmäe',)",tänav,TÄNAV,whatevs
"('Härjapea',)",tänav,TÄNAV,whatevs
