,15386
Raudkivi tee 6-12,53
Viljandi mnt. 8-15,933
"Kauba 19, Kuressaare",34
"Tuleviku 4 , Rakvere",49
"Juhkentali 58, 15007 Tallinn",1
Oru tn. 12,140
"Liiva küla, Muhu vald",47
Hiiu mnt.1b,16
"Hariduse 15, Narva",460
Pärnu mnt. 56,21
Mõisavahe 2,1130
Kivila 11 PAK,101
L.Puusepa 3,58
Suislepa,2715
Kalevi 4,97
Laeva k�la 7,1
Punane 18,156
Seedri 6,17
Eesti Vabariik,1
Jaama 32,94
"Ravi 1, Väike-Maarja",77
Vestervalli 29,10
Tööstuse 25,14
Gildi 8-103,115
Turu 2 51014 Tartu,43
Hariduse 6,13
Ravi 10,630
Salutaguse t. 6,9
Mõniste,217
Haigla tn. 6 - 106,18
Puusepa 1a - 2016,114
"Wismari 15, 10136 Tallinn",2
Ravi 27,152
"Mustla, Posti 36",85
Nuutri 3a,2
"Veetorni 2-1, Pärnu",5
Piiri 4,196
"LÄÄNE-VIRUMAA, VINNI",157
Tallinna 11a,45
Tartu mnt 2,85
K�tise 4,2
"Männiku tee 43, Tallinn",95
Keskpuistee 36 Kiviõli,23
V�ru mnt. 1,3
Jaama 11,399
Talllinna mnt 46,23
"Tuleviku 1-39, Rakvere",4
Valjala alevik,6
KOIDU 3,36
Mustamäe tee 3,173
M�isavahe 2,22
Vahtra 6,9
Ehitajate tee 137,217
"Tööstuse 25, Kõrgessaare alevik",4
"Lõuna põik 1 , Rakvere  44316",5561
Lasteaia 10,171
"PAUL KERESE 3,NARVA",1
Adavere,5
Saverna Valgjärve v. Põlva mk. 63418,4
Ranna tee 10,43
Aruküla tee 25,56
Orava 1 Orava vald 64101 Põlvamaa,4
P�rnu 56,14
"Tuleviku 1-39, Rakvere",16
Lossi 49,4109
Noorma k�la,1
"Vaimastvere, Jõgeva mk.",1
"Kooli 3, Puka",9
Kabala küla  Pargi 1,3
Rajaniidu 16,112
Tuleviku 1 - 16,13
"Jaama 34, Jõhvi 41532",257
Sütiste 19A,23
Ehitajate tee 23,33
Tartu 2a,372
Sakala 3b,11
"Kooli 14, Tapa",197
Sütiste tee 19A - 198,1
"Punane 61,13619 TALLINN",2594
S�nna mnt. 4,15
N�lvaku 13-1,10
"Turu 8/10, 71003 Viljandi",29
"Paide, Tiigi 8",5397
Surju küla,108
Tervise 28,274
"Räpina, Apteegi 3",154
Pärnu mnt.67a,3
Pisisaare k. Kase tee 11-5,93
Rakvere mnt.12,140
Gagarini 15a-31,8
Kesk 3,230
Pala,215
"Haigla 7, Narva",1445
"Vilisuu 7, 13626 Tallinn",24
Ehitajate 27,265
Veskitammi 4,45
Jaama 3 - 2,1
HABAJA,410
Rehe 7-43,2
Jaama 1,57
Rahu 1,2
Ehitajate 8,30
Jõe 5,23
Sänna mnt. 4,203
Virbi 4,36
Oru 12,49
Tartu 1,18
Haigla 2,354
Lasva,115
"Sõmeru, Kooli 5",6
"Punane 16-403, Tallinn 13620",21
"Tuleviku 1, Rakvere",120
"Tamsalu, Tehnika 1a",93
Mustamäe tee 55A,7
"Kooli 15, Mäetaguse alevik",38
