_phrase_,type,grammar_symbol
"('Altsepa', 't')",talu,TALU
"('Altsepa',)",talu,TALU
"('Alttoa', 't')",talu,TALU
"('Alttoa',)",talu,TALU
"('Altveski', 't')",talu,TALU
"('Altveski',)",talu,TALU
"('Altvälja', 't')",talu,TALU
"('Altvälja',)",talu,TALU
"('Alu', 'ms')",talu,TALU
"('Alu',)",talu,TALU
"('Alukse', 't')",talu,TALU
"('Alukse',)",talu,TALU
"('Alva', 'krjms')",talu,TALU
"('Alva',)",talu,TALU
"('Ambla', 'krkms')",talu,TALU
"('Ambla',)",talu,TALU
"('Ammassaare', 't')",talu,TALU
"('Ammassaare',)",talu,TALU
"('Ammende', 'villa')",talu,TALU
"('Ammende',)",talu,TALU
"('Ammuta', 'krvms')",talu,TALU
"('Ammuta',)",talu,TALU
"('Ammuta', 't')",talu,TALU
"('Amula', 'krjms')",talu,TALU
"('Amula',)",talu,TALU
"('Andja', 'ms')",talu,TALU
"('Andja',)",talu,TALU
"('Andre', 'krjms')",talu,TALU
"('Andre',)",talu,TALU
"('Andre', 't')",talu,TALU
"('Andrekse', 't')",talu,TALU
"('Andrekse',)",talu,TALU
"('Andrese', 't')",talu,TALU
"('Andrese',)",talu,TALU
"('Andrese-Uuetoa', 't')",talu,TALU
"('Andrese-Uuetoa',)",talu,TALU
"('Andresjaani', 't')",talu,TALU
"('Andresjaani',)",talu,TALU
"('Andressaare', 'krjms')",talu,TALU
"('Andressaare',)",talu,TALU
"('Andu', 't')",talu,TALU
"('Andu',)",talu,TALU
"('Anepaju', 't')",talu,TALU
"('Anepaju',)",talu,TALU
"('Anepalu', 't')",talu,TALU
"('Anepalu',)",talu,TALU
"('Anesilla', 't')",talu,TALU
"('Anesilla',)",talu,TALU
"('Anevihu', 't')",talu,TALU
"('Anevihu',)",talu,TALU
"('Angametsa', 't')",talu,TALU
"('Angametsa',)",talu,TALU
"('Angerja', 'ms')",talu,TALU
"('Angerja',)",talu,TALU
"('Angerjamäe', 't')",talu,TALU
"('Angerjamäe',)",talu,TALU
"('Anija', 'ms')",talu,TALU
"('Anija',)",talu,TALU
"('Anijala', 'ms')",talu,TALU
"('Anijala',)",talu,TALU
"('Anikatsi', 'krvms')",talu,TALU
"('Anikatsi',)",talu,TALU
"('Anikatsi', 't')",talu,TALU
"('Animatsi', 't')",talu,TALU
"('Animatsi',)",talu,TALU
"('Anisilla', 't')",talu,TALU
"('Anisilla',)",talu,TALU
"('Aniste', 'plms')",talu,TALU
"('Aniste',)",talu,TALU
"('Anna', 'krkms')",talu,TALU
"('Anna',)",talu,TALU
"('Anna', 'krvms')",talu,TALU
"('Annamõisa', 'krjms')",talu,TALU
"('Annamõisa',)",talu,TALU
"('Anne', 'krjms')",talu,TALU
"('Anne',)",talu,TALU
