_phrase_,type,grammar_symbol
"('Annemõisa',)",tänav,TÄNAV
"('Annemäe', 'tee')",tänav,TÄNAV
"('Annemäe',)",tänav,TÄNAV
"('Anni', 'tn')",tänav,TÄNAV
"('Anni',)",tänav,TÄNAV
"('Annuse', 'tee')",tänav,TÄNAV
"('Annuse',)",tänav,TÄNAV
"('Antenni', 'tn')",tänav,TÄNAV
"('Antenni',)",tänav,TÄNAV
"('Antsla', 'maantee')",tänav,TÄNAV
"('Antsla',)",tänav,TÄNAV
"('Antsla', 'tee')",tänav,TÄNAV
"('Antsla', 'tn')",tänav,TÄNAV
"('Aleksander', 'Antsoni', 'tn')",tänav,TÄNAV
"('Aleksander', 'Antsoni')",tänav,TÄNAV
"('Antsoni',)",tänav,TÄNAV
"('Antsu', 'tn')",tänav,TÄNAV
"('Antsu',)",tänav,TÄNAV
"('Jaan', 'Anveldi', 'tn')",tänav,TÄNAV
"('Jaan', 'Anveldi')",tänav,TÄNAV
"('Anveldi',)",tänav,TÄNAV
"('Ao', 'tn')",tänav,TÄNAV
"('Ao',)",tänav,TÄNAV
"('Apteegi', 'tn')",tänav,TÄNAV
"('Apteegi',)",tänav,TÄNAV
"('Araku', 'tn')",tänav,TÄNAV
"('Araku',)",tänav,TÄNAV
"('Aravete', 'KETE')",tänav,TÄNAV
"('KETE',)",tänav,TÄNAV
"('Arbavere', 'tee')",tänav,TÄNAV
"('Arbavere',)",tänav,TÄNAV
"('Arbi', 'tn')",tänav,TÄNAV
"('Arbi',)",tänav,TÄNAV
"('Arbimäe', 'tn')",tänav,TÄNAV
"('Arbimäe',)",tänav,TÄNAV
"('Arbu', 'tn')",tänav,TÄNAV
"('Arbu',)",tänav,TÄNAV
"('Peet', 'Areni', 'tn')",tänav,TÄNAV
"('Peet', 'Areni')",tänav,TÄNAV
"('Areni',)",tänav,TÄNAV
"('Arhiivi', 'tn')",tänav,TÄNAV
"('Arhiivi',)",tänav,TÄNAV
"('Arhitekti', 'tn')",tänav,TÄNAV
"('Arhitekti',)",tänav,TÄNAV
"('Arkna', 'tee')",tänav,TÄNAV
"('Arkna',)",tänav,TÄNAV
"('Armatuuri', 'tn')",tänav,TÄNAV
"('Armatuuri',)",tänav,TÄNAV
"('Arnika', 'tee')",tänav,TÄNAV
"('Arnika',)",tänav,TÄNAV
"('Aroonia', 'tee')",tänav,TÄNAV
"('Aroonia',)",tänav,TÄNAV
"('Aroonia', 'tn')",tänav,TÄNAV
"('Artelli', 'tn')",tänav,TÄNAV
"('Artelli',)",tänav,TÄNAV
"('Aru', 'tee')",tänav,TÄNAV
"('Aru',)",tänav,TÄNAV
"('Aru', 'tn')",tänav,TÄNAV
"('Aruheina', 'tee')",tänav,TÄNAV
"('Aruheina',)",tänav,TÄNAV
"('Arukase', 'tn')",tänav,TÄNAV
"('Arukase',)",tänav,TÄNAV
"('Arukaskede', 'puiestee')",tänav,TÄNAV
"('Arukaskede',)",tänav,TÄNAV
"('Aruküla', 'põik')",tänav,TÄNAV
"('Aruküla',)",tänav,TÄNAV
"('Aruküla', 'tee')",tänav,TÄNAV
"('Arumäe', 'tn')",tänav,TÄNAV
"('Arumäe',)",tänav,TÄNAV
"('Aruserva', 'tn')",tänav,TÄNAV
"('Aruserva',)",tänav,TÄNAV
"('Asalea', 'tee')",tänav,TÄNAV
"('Asalea',)",tänav,TÄNAV
"('Aseri', 'tee')",tänav,TÄNAV
"('Aseri',)",tänav,TÄNAV
"('Aseriaru', 'tee')",tänav,TÄNAV
"('Aseriaru',)",tänav,TÄNAV
"('Asfaldi', 'tn')",tänav,TÄNAV
"('Asfaldi',)",tänav,TÄNAV
"('Elisabeth', 'Aspe', 'tn')",tänav,TÄNAV
"('Elisabeth', 'Aspe')",tänav,TÄNAV
"('Aspe',)",tänav,TÄNAV
"('Astangu', 'tn')",tänav,TÄNAV
"('Astangu',)",tänav,TÄNAV
"('Astelpaju', 'tn')",tänav,TÄNAV
"('Astelpaju',)",tänav,TÄNAV
"('Astilbe', 'tee')",tänav,TÄNAV
"('Astilbe',)",tänav,TÄNAV
"('Astla', 'tee')",tänav,TÄNAV
"('Astla',)",tänav,TÄNAV
"('Astra', 'tn')",tänav,TÄNAV
"('Astra',)",tänav,TÄNAV
"('Astri', 'põik')",tänav,TÄNAV
"('Astri',)",tänav,TÄNAV
"('Astri', 'tee')",tänav,TÄNAV
"('Astri', 'tn')",tänav,TÄNAV
"('Asuja', 'tn')",tänav,TÄNAV
"('Asuja',)",tänav,TÄNAV
"('Asula', 'põik')",tänav,TÄNAV
"('Asula',)",tänav,TÄNAV
"('Asula', 'tn')",tänav,TÄNAV
"('Asunduse', 'tn')",tänav,TÄNAV
"('Asunduse',)",tänav,TÄNAV
"('Auga', 'tn')",tänav,TÄNAV
"('Auga',)",tänav,TÄNAV
"('Augusti',)",tänav,TÄNAV
"('Aukamäe', 'tn')",tänav,TÄNAV
"('Aukamäe',)",tänav,TÄNAV
"('Auli', 'tn')",tänav,TÄNAV
"('Auli',)",tänav,TÄNAV
"('Auna', 'tn')",tänav,TÄNAV
"('Auna',)",tänav,TÄNAV
"('Auriku', 'tn')",tänav,TÄNAV
"('Auriku',)",tänav,TÄNAV
"('Auru', 'põik')",tänav,TÄNAV
"('Auru',)",tänav,TÄNAV
"('Auru', 'tn')",tänav,TÄNAV
"('Ausamba', 'tn')",tänav,TÄNAV
"('Ausamba',)",tänav,TÄNAV
"('Auvärava', 'tn')",tänav,TÄNAV
"('Auvärava',)",tänav,TÄNAV
"('Avamaa', 'tn')",tänav,TÄNAV
"('Avamaa',)",tänav,TÄNAV
"('Avar', 'tn')",tänav,TÄNAV
"('Avar',)",tänav,TÄNAV
"('Avi', 'tn')",tänav,TÄNAV
"('Avi',)",tänav,TÄNAV
"('Avinurme', 'tee')",tänav,TÄNAV
"('Avinurme',)",tänav,TÄNAV
"('Karl', 'Ernst', 'von', 'Baeri', 'tn')",tänav,TÄNAV
"('Karl', 'Ernst', 'von', 'Baeri')",tänav,TÄNAV
"('Baeri',)",tänav,TÄNAV
"('Bajadeeri', 'tn')",tänav,TÄNAV
"('Bajadeeri',)",tänav,TÄNAV
"('Balti', 'tn')",tänav,TÄNAV
"('Balti',)",tänav,TÄNAV
"('Barsbütteli', 'tn')",tänav,TÄNAV
"('Barsbütteli',)",tänav,TÄNAV
"('Basseini', 'tn')",tänav,TÄNAV
"('Basseini',)",tänav,TÄNAV
"('Bastioni', 'tn')",tänav,TÄNAV
"('Bastioni',)",tänav,TÄNAV
"('Arsenti', 'Bastrakovi', 'tn')",tänav,TÄNAV
"('Arsenti', 'Bastrakovi')",tänav,TÄNAV
"('Bastrakovi',)",tänav,TÄNAV
"('Begoonia', 'tee')",tänav,TÄNAV
"('Begoonia',)",tänav,TÄNAV
"('Bensiini', 'tn')",tänav,TÄNAV
"('Bensiini',)",tänav,TÄNAV
"('Betooni', 'põik')",tänav,TÄNAV
"('Betooni',)",tänav,TÄNAV
"('Betooni', 'tn')",tänav,TÄNAV
"('Bordoo', 'tn')",tänav,TÄNAV
"('Bordoo',)",tänav,TÄNAV
"('Eduard', 'Bornhöhe', 'tee')",tänav,TÄNAV
"('Eduard', 'Bornhöhe')",tänav,TÄNAV
"('Bornhöhe',)",tänav,TÄNAV
"('Borodini',)",tänav,TÄNAV
"('Bremeni', 'käik')",tänav,TÄNAV
"('Bremeni',)",tänav,TÄNAV
"('Briketi', 'tn')",tänav,TÄNAV
"('Briketi',)",tänav,TÄNAV
"('Börsi', 'käik')",tänav,TÄNAV
"('Börsi',)",tänav,TÄNAV
"('Oskar', 'Cheri', 'tn')",tänav,TÄNAV
"('Oskar', 'Cheri')",tänav,TÄNAV
"('Cheri',)",tänav,TÄNAV
"('Daalia', 'tee')",tänav,TÄNAV
"('Daalia',)",tänav,TÄNAV
"('Ancis', 'Daumani', 'tn')",tänav,TÄNAV
"('Ancis', 'Daumani')",tänav,TÄNAV
"('Daumani',)",tänav,TÄNAV
"('Depoo', 'tn')",tänav,TÄNAV
"('Depoo',)",tänav,TÄNAV
"('Detsembri', 'nim.', 'puiestee')",tänav,TÄNAV
"('Detsembri', 'nim.')",tänav,TÄNAV
"('DOK',)",tänav,TÄNAV
"('Dolomiidi', 'tn')",tänav,TÄNAV
"('Dolomiidi',)",tänav,TÄNAV
"('Dunkri', 'tn')",tänav,TÄNAV
"('Dunkri',)",tänav,TÄNAV
"('Ebumäe', 'tn')",tänav,TÄNAV
